Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Import,49535,40996,Weight in kilograms,40996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, stainless; semi-finished products, of rectangular (other than square) cross-section",Import,289,25,Weight in kilograms,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, stainless; flat-rolled, width 600mm or more, n.e.c. in heading no. 7219",Import,324,5,Weight in kilograms,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, stainless; flat-rolled, width less than 600mm, hot-rolled, of a thickness of less than 4.75mm",Import,416,9,Weight in kilograms,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, stainless; bars and rods, hot-rolled, in irregularly wound coils",Import,9,10,Weight in kilograms,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section",Import,1908,1518,Weight in kilograms,1518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Import,656,307,Weight in kilograms,307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, stainless; angles, shapes and sections",Import,845,1052,Weight in kilograms,1052
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, alloy; semi-finished products",Import,262,80,Weight in kilograms,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, alloy; bars and rods, of high speed steel",Import,188,134,Weight in kilograms,134
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, alloy; bars and rods, hot-rolled, hot-drawn or extruded",Import,195,70,Weight in kilograms,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, alloy; bars and rods, cold-formed or cold-finished",Import,13522,38,Weight in kilograms,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Import,2038,1407,Weight in kilograms,1407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, alloy; angles, shapes and sections",Import,2394,2348,Weight in kilograms,2348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, alloy or non-alloy; hollow drill bars and rods",Import,46,25,Weight in kilograms,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, alloy; wire, of silico-manganese steel",Import,779,965,Weight in kilograms,965
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,"Steel, alloy; wire, of materials other than silico-manganese steel",Import,886,149,Weight in kilograms,149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Ferrous waste and scrap; of cast iron,Re-Export,102,2041,Weight in kilograms,2041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Ferrous waste and scrap; of cast iron,Export,102,2041,Weight in kilograms,2041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Ferrous waste and scrap; of alloy steel (excluding stainless),Re-Export,185,990,Weight in kilograms,990
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Ferrous waste and scrap; of alloy steel (excluding stainless),Export,185,990,Weight in kilograms,990
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Ferrous waste and scrap; n.e.c. in heading no. 7204,Import,334,15,Weight in kilograms,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Ferrous waste and scrap; n.e.c. in heading no. 7204,Export,4630,7550,Weight in kilograms,7550
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Ferrous products; remelting scrap ingots,Export,4074,9000,Weight in kilograms,9000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or steel, pig iron, spiegeleisen; granules thereof",Import,8,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or steel, pig iron, spiegeleisen; powders (excluding alloy steel)",Import,26,3,Weight in kilograms,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,1024516,731905,Weight in kilograms,731905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, pickled, of a thickness of 3mm or more but less than 4.75mm",Import,61,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of 4.75mm or more but not exceeding 10mm",Import,7403,7306,Weight in kilograms,7306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208",Import,150709,9360,Weight in kilograms,9360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of less than 0.5mm",Import,434,5,Weight in kilograms,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, cold-rolled, n.e.c. in heading no. 7209",Import,949,750,Weight in kilograms,750
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with tin, thickness of 0.5mm or more",Import,23225,45685,Weight in kilograms,45685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Import,340,70,Weight in kilograms,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Export,306267,516282,Weight in kilograms,516282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Import,358832,304455,Weight in kilograms,304455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",Import,4100,295,Weight in kilograms,295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium zinc-alloys",Import,46867,17197,Weight in kilograms,17197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Import,67694,39891,Weight in kilograms,39891
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Export,190497,159409,Weight in kilograms,159409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210",Import,15639,5057,Weight in kilograms,5057
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, 4.75mm thick or more, excluding those of item no. 7211.13",Import,632,5,Weight in kilograms,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, less than 4.75mm thick, excluding those of item no. 7211.13",Import,6241,2200,Weight in kilograms,2200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, n.e.c. in heading no. 7211, width less than 600mm",Import,40,33,Weight in kilograms,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc",Import,12006,8545,Weight in kilograms,8545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",Import,5192,2121,Weight in kilograms,2121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated, (excluding tin, zinc or plastic)",Import,6952,4926,Weight in kilograms,4926
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; flat-rolled, width less than 600mm, clad",Import,27658,1178,Weight in kilograms,1178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process",Import,145777,521081,Weight in kilograms,521081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring less than 14mm in diameter",Import,2991,787,Weight in kilograms,787
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; bars and rods, forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling",Import,704612,1156086,Weight in kilograms,1156086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Import,154049,276979,Weight in kilograms,276979
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Import,448506,1078386,Weight in kilograms,1078386
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, of rectangular (other than square) cross-section",Import,2752,5000,Weight in kilograms,5000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, other than of rectangular cross-section",Import,26951,36155,Weight in kilograms,36155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",Import,13656,3102,Weight in kilograms,3102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; L sections, hot-rolled, hot-drawn or extruded, of a height of less than 80mm",Import,661,241,Weight in kilograms,241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; U sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,1602,6000,Weight in kilograms,6000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; I sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,538,96,Weight in kilograms,96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; H sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,215,560,Weight in kilograms,560
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",Import,18660,11336,Weight in kilograms,11336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Import,1008,1010,Weight in kilograms,1010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, (not obtained from flat-rolled products)",Import,3210,5214,Weight in kilograms,5214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Import,13923,16077,Weight in kilograms,16077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Import,38878,37273,Weight in kilograms,37273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; wire, (not plated or coated), whether or not polished",Import,26020,27839,Weight in kilograms,27839
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; wire, plated or coated with zinc",Import,6941,3627,Weight in kilograms,3627
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; wire, plated or coated with base metals (other than zinc)",Import,181,261,Weight in kilograms,261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Import,39616,16957,Weight in kilograms,16957
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, stainless; semi-finished products, of rectangular (other than square) cross-section",Import,1488,32,Weight in kilograms,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, stainless; semi-finished products, other than of rectangular cross-section",Import,98,2,Weight in kilograms,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, stainless; flat-rolled, width 600mm or more, hot-rolled, in coils, of a thickness exceeding 10mm",Import,989,190,Weight in kilograms,190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, stainless; bars and rods, hot-rolled, in irregularly wound coils",Import,28,73,Weight in kilograms,73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, of circular cross-section",Import,43,14,Weight in kilograms,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section",Import,1029,53,Weight in kilograms,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Import,671,15,Weight in kilograms,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, stainless; angles, shapes and sections",Import,241,252,Weight in kilograms,252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, stainless; wire",Import,3439,1236,Weight in kilograms,1236
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; ingots and other primary forms",Import,843,148,Weight in kilograms,148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; semi-finished products",Import,331,1000,Weight in kilograms,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7227",Import,16487,987,Weight in kilograms,987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; bars and rods, of high speed steel",Import,192,84,Weight in kilograms,84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; bars and rods, hot-rolled, hot-drawn or extruded",Import,332,2,Weight in kilograms,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; bars and rods, forged",Import,176,50,Weight in kilograms,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Import,2224,1587,Weight in kilograms,1587
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; angles, shapes and sections",Import,2104,764,Weight in kilograms,764
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy or non-alloy; hollow drill bars and rods",Import,3680,4594,Weight in kilograms,4594
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; wire, of silico-manganese steel",Import,953,50,Weight in kilograms,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,"Steel, alloy; wire, of materials other than silico-manganese steel",Import,297,152,Weight in kilograms,152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron; non-alloy pig iron containing by weight 0.5% or less of phosphorus, in pigs, blocks or other primary forms",Export,2963,1800,Weight in kilograms,1800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,Ferrous waste and scrap; of tinned iron or steel,Export,5781,4070,Weight in kilograms,4070
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,Ferrous waste and scrap; n.e.c. in heading no. 7204,Export,19490,21419,Weight in kilograms,21419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or steel, pig iron, spiegeleisen; granules thereof",Import,4,1,Weight in kilograms,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; semi-finished products of iron or non-alloy steel; containing by weight less than 0.25% of carbon, of rectangular (other than square) cross-section",Import,3367,6000,Weight in kilograms,6000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,1947269,1536018,Weight in kilograms,1536018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,4825,8700,Weight in kilograms,8700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208",Import,11902,26957,Weight in kilograms,26957
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness exceeding 1mm but less than 3mm",Import,5425,814,Weight in kilograms,814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm",Import,3050,5349,Weight in kilograms,5349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness exceeding 1mm but less than 3mm",Import,787,945,Weight in kilograms,945
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, cold-rolled, n.e.c. in heading no. 7209",Import,20980,4303,Weight in kilograms,4303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with tin, thickness of 0.5mm or more",Import,2115,560,Weight in kilograms,560
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Import,35535,19768,Weight in kilograms,19768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Export,482957,507935,Weight in kilograms,507935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Import,401356,293485,Weight in kilograms,293485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Export,65761,72429,Weight in kilograms,72429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",Import,5414,5170,Weight in kilograms,5170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with chromium oxides or with chromium and chromium oxides",Import,4,40,Weight in kilograms,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium zinc-alloys",Import,44493,24530,Weight in kilograms,24530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium, other than plated or coated with aluminium zinc-alloys",Import,173,110,Weight in kilograms,110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Import,92554,405613,Weight in kilograms,405613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Export,128529,107681,Weight in kilograms,107681
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210",Import,43234,10144,Weight in kilograms,10144
